"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalHalfBath","TotalFullBath","TotalFinSF","AbvGrndRoomSize","YrSold_Garage_Difference","hasDeck","hasOpenPorch","hasEnlosedPorch","hasX3SsnPorch","hasScreenPorch","hasPool","hasFence"
"11",11,"1 story (new styles)","low density",70,9.32366905728319,"Reg","Lvl","Inside","Gtl","Sawyer","Normal","1Fam","1 story",5,5,3.78418963391826,1,"Hip","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"3",6.81014245011514,1,0,4.90527477843843,6.94793706861497,"GasA",4,"Y","SBrkr",6.94793706861497,0,0,-Inf,1,0,1,0,3,1,5,5,"Typ",0,0,5,1965,5,1,5.95324333428778,3,3,"Y",0,0,0,0,0,2,2008,"Warranty Deed","Normal",129500,0,2,7.57353126274595,208,3.78418963391826,"No","No","No","No","No",0,0
"12",12,"2 story newer","low density",85,9.38630845479796,"IR1","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","2 stories",9,5,0.693147180559945,0,"Hip","Shingle","Stucco","Stucco","Stone",5.65948221575962,"4","2","PConc",5,3,1,"6",6.90675477864855,1,0,5.18178355029209,7.06987412845857,"GasA",4,"Y","SBrkr",7.07580886397839,7.04141166379481,0,-Inf,1,0,3,0,4,1,5,11,"Typ",2,4,5,2005,5,3,6.60258789218934,3,3,"Y",4.99721227376411,3.09104245335832,0,0,0,7,2006,"New Home","Partial",345000,0,4,8.10832229017324,211.272727272727,0.693147180559945,"Yes","Yes","No","No","No",0,0
"13",13,"1 story (new styles)","low density",62,9.47024006341551,"IR2","Lvl","Inside","Gtl","Sawyer","Normal","1Fam","1 story",5,6,3.85014760171006,1,"Hip","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"5",6.60394382460047,1,0,5.17048399503815,6.81673588059497,"GasA",2,"Y","SBrkr",6.81673588059497,0,0,-Inf,1,0,1,0,2,1,5,4,"Typ",0,0,5,1962,5,1,5.8664680569333,3,3,"Y",4.94875989037817,0,0,5.17614973257383,0,9,2008,"Warranty Deed","Normal",144000,0,2,7.4079243225596,228,3.85014760171006,"Yes","No","No","No","Yes",0,0
"14",14,"1 story (new styles)","low density",91,9.27350294693382,"IR1","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","1 story",7,5,0.693147180559945,0,"Gable","Shingle","Synthetic","Synthetic","Stone",5.7268477475872,"3","2","PConc",4,3,3,"1",0,1,0,7.30988148582479,7.30988148582479,"GasA",4,"Y","SBrkr",7.30988148582479,0,0,-Inf,0,0,2,0,3,1,5,7,"Typ",1,4,5,2006,5,3,6.73459165997295,3,3,"Y",5.08140436498446,3.52636052461616,0,0,0,8,2007,"New Home","Partial",279500,0,2,7.30921236569276,213.428571428571,0.693147180559945,"Yes","Yes","No","No","No",0,0
"15",15,"1 story (new styles)","low density",88.8,9.2983512492989,"IR1","Lvl","Corner","Gtl","NAmes","Normal","1Fam","1 story",6,5,3.89182029811063,1,"Hip","Shingle","Stucco","Stucco","Brick",5.36129216570943,"2","2","CBlock",3,3,1,"4",6.59850902861452,1,0,6.25575004175337,7.13409372119287,"GasA",2,"Y","SBrkr",7.13409372119287,0,0,-Inf,1,0,1,1,2,1,5,5,"Typ",1,2,5,1960,5,1,5.8664680569333,3,3,"Y",0,5.36597601502185,5.17614973257383,0,0,5,2008,"Warranty Deed","Normal",157000,1,2,7.59387784460512,250.6,3.89182029811063,"No","Yes","Yes","No","No",0,1
"16",16,"1.5 stories","medium-high density",51,8.71931737550637,"Reg","Lvl","Corner","Gtl","BrkSide","Normal","1Fam","1.5 stories",7,8,4.36944785246702,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","BrkTil",3,3,1,"1",0,1,0,6.72503364216684,6.72503364216684,"GasA",4,"Y","FuseA",6.75110146893676,0,0,-Inf,0,0,1,0,2,1,5,5,"Typ",0,0,5,1991,5,2,6.3578422665081,3,3,"Y",3.89182029811063,4.72738781871234,0,0,0,7,2007,"Warranty Deed","Normal",132000,0,1,6.74993119378857,170.8,2.83321334405622,"Yes","Yes","No","No","No",0,1
"17",17,"1 story (new styles)","low density",87.8,9.3273230874618,"IR1","Lvl","CulDSac","Gtl","NAmes","Normal","1Fam","1 story",6,7,3.71357206670431,1,"Gable","Shingle","Stucco","Stucco","Brick",5.19849703126583,"2","2","CBlock",3,3,1,"5",6.361302477573,1,0,6.05678401322862,6.91274282049318,"GasA",4,"Y","SBrkr",6.91274282049318,0,0,-Inf,1,0,1,0,2,1,5,5,"Typ",1,3,5,1970,5,2,6.17586727010576,3,3,"Y",0,0,0,0,6.55250788703459,3,2010,"Warranty Deed","Normal",149000,0,2,7.3664451483276,200.8,3.71357206670431,"No","No","No","No","No",0,0
"18",18,"duplex","low density",72,9.28646773236373,"Reg","Lvl","Inside","Gtl","Sawyer","Normal","Duplex","1 story",4,5,3.68887945411394,1,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","Slab",0,0,0,"0",0,0,0,0,0,"GasA",2,"Y","SBrkr",7.16780918431644,0,0,-Inf,0,0,2,0,2,2,5,6,"Typ",0,0,5,1967,5,2,6.24804287450843,3,3,"Y",0,0,0,0,6.21660610108486,10,2006,"Warranty Deed","Normal",90000,0,2,7.16703787691222,216,3.68887945411394,"No","No","No","No","No",0,0
"19",19,"1 story (new styles)","low density",66,9.52478608169718,"Reg","Lvl","Inside","Gtl","SawyerW","near railroad","1Fam","1 story",5,5,1.6094379124341,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",3,3,1,"6",6.4723462945009,1,0,6.15060276844628,7.01660968389422,"GasA",4,"Y","SBrkr",7.01660968389422,0,0,-Inf,1,0,1,1,3,1,5,6,"Typ",0,0,5,2004,5,2,6.3578422665081,3,3,"Y",0,4.63472898822964,0,0,0,6,2008,"Warranty Deed","Normal",159000,1,2,7.4730690880322,185.666666666667,1.6094379124341,"No","Yes","No","No","No",0,0
"20",20,"1 story (new styles)","low density",70,8.93062646917358,"Reg","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",5,6,3.95124371858143,0,"Hip","Shingle","Brick","Ply","None",0,"2","2","CBlock",3,3,1,"2",6.22455842927536,1,0,6.26530121273771,6.93731408122368,"GasA",2,"Y","SBrkr",7.20042489294496,0,0,-Inf,0,0,1,0,3,1,5,6,"Min1",0,0,5,1958,5,1,5.68697535633982,3,3,"Y",0,0,0,0,0,5,2009,"Court Deed/Estate","Abnorml",139000,0,1,7.51914995766982,223.166666666667,3.95124371858143,"No","No","No","No","No",0,1
"21",21,"2 story newer","low density",101,9.5620530240851,"IR1","Lvl","Corner","Gtl","NridgHt","Normal","1Fam","2 stories",8,5,0.693147180559945,0,"Gable","Shingle","Synthetic","Synthetic","Brick",5.9427993751267,"3","2","PConc",5,3,3,"1",0,1,0,7.05531284333975,7.05531284333975,"GasA",4,"Y","SBrkr",7.05531284333975,7.10578612948127,0,-Inf,0,0,3,1,4,1,5,9,"Typ",1,4,5,2005,5,3,6.74993119378857,3,3,"Y",5.48479693349065,5.04342511691925,0,0,0,11,2006,"New Home","Partial",325300,1,3,7.77317368048254,264,0.693147180559945,"Yes","Yes","No","No","No",0,0
"22",22,"1.5 stories","medium-high density",57,8.91583507417628,"Reg","Bnk","Inside","Gtl","IDOTRR","Normal","1Fam","1.5 stories",7,7,4.35670882668959,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","PConc",3,3,1,"1",0,1,0,6.45833828334479,6.45833828334479,"GasA",4,"Y","FuseF",7.01121398735037,0,0,-Inf,0,0,1,0,3,1,5,6,"Typ",1,4,5,1930,5,1,5.63835466933375,3,3,"N",0,0,5.32787616878958,0,0,6,2007,"Warranty Deed","Normal",139400,0,1,7.01031186730723,184.666666666667,4.35670882668959,"No","No","Yes","No","No",0,1
"23",23,"1 story (new styles)","low density",75,9.18420171436649,"Reg","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","1 story",8,5,1.94591014905531,1,"Hip","Shingle","Synthetic","Synthetic","Brick",5.64190707093811,"3","2","PConc",4,3,1,"1",0,1,0,7.48324441607385,7.48324441607385,"GasA",4,"Y","SBrkr",7.49331724886215,0,0,-Inf,0,0,2,0,3,1,5,7,"Typ",1,4,5,2002,5,2,6.28226674689601,3,3,"Y",5.14749447681345,5.07517381523383,0,0,0,9,2008,"Warranty Deed","Normal",230000,0,2,7.49276030092238,256.428571428571,1.94591014905531,"Yes","Yes","No","No","No",0,0
"24",24,"projects","medium-high density",44,8.3485378253861,"Reg","Lvl","Inside","Gtl","MeadowV","Normal","TwnhsE","1 story",5,7,3.46573590279973,1,"Gable","Shingle","Concrete","Stucco","None",0,"2","2","PConc",4,3,1,"6",6.73459165997295,1,0,5.30330490805908,6.94793706861497,"GasA",2,"Y","SBrkr",6.96696713861398,0,0,-Inf,1,0,1,0,3,1,5,6,"Typ",1,3,5,1976,5,2,6.35088571671474,3,3,"Y",4.61512051684126,4.70953020131233,0,0,0,6,2007,"Warranty Deed","Normal",129900,0,2,7.54960916515453,176.666666666667,3.46573590279973,"Yes","Yes","No","No","No",0,0
"25",25,"1 story (new styles)","low density",56,9.01748351326684,"IR1","Lvl","Inside","Gtl","Sawyer","Normal","1Fam","1 story",5,8,3.76120011569356,0,"Gable","Shingle","Ply","Ply","None",0,"2","3","CBlock",3,3,2,"3",5.24174701505964,5,6.50578406012823,5.32300997913841,6.96696713861398,"GasA",4,"Y","SBrkr",6.96696713861398,0,0,-Inf,1,0,1,0,3,1,5,6,"Typ",1,3,5,1968,5,1,5.6021188208797,3,3,"Y",6.00881318544259,4.51085950651685,0,0,0,5,2010,"Warranty Deed","Normal",154000,0,2,7.55799495853081,176.666666666667,3.76120011569356,"Yes","Yes","No","No","No",0,1
"26",26,"1 story (new styles)","low density",110,9.5631076910839,"Reg","Lvl","Corner","Gtl","NridgHt","Normal","1Fam","1 story",8,5,1.09861228866811,1,"Gable","Shingle","Synthetic","Synthetic","Stone",6.46302945692067,"3","2","PConc",4,3,1,"1",0,1,0,7.35691824235602,7.35691824235602,"GasA",4,"Y","SBrkr",7.37838371299671,0,0,-Inf,0,0,2,0,3,1,5,7,"Typ",1,4,5,2007,5,3,6.79234442747081,3,3,"Y",0,4.04305126783455,0,0,0,7,2009,"Warranty Deed","Normal",256300,0,2,7.37775890822787,228.571428571429,1.09861228866811,"No","Yes","No","No","No",0,0
"27",27,"1 story (new styles)","low density",60,8.88183630500415,"Reg","Lvl","Corner","Gtl","NAmes","Normal","1Fam","1 story",5,7,4.0943445622221,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","CBlock",3,3,2,"4",5.45958551414416,3,6.18826412308259,5.19849703126583,6.80350525760834,"GasA",2,"Y","SBrkr",6.80350525760834,0,0,-Inf,0,1,1,0,3,1,5,5,"Typ",0,0,5,2005,5,2,6.3578422665081,3,3,"Y",5.40717177146012,3.49650756146648,0,0,0,5,2010,"Warranty Deed","Normal",134800,1,1,7.39018142822643,180,1.79175946922805,"Yes","Yes","No","No","No",0,0
"28",28,"1 story (new styles)","low density",98,9.34818743866831,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","1 story",8,5,1.38629436111989,0,"Gable","Shingle","Synthetic","Synthetic","Stone",5.30330490805908,"3","2","PConc",5,3,1,"6",7.10578612948127,1,0,6.18826412308259,7.44132038971762,"GasA",4,"Y","SBrkr",7.44132038971762,0,0,-Inf,1,0,2,0,3,1,5,7,"Typ",1,4,5,2008,5,3,6.65027904858742,3,3,"Y",0,3.93182563272433,0,0,0,5,2010,"Warranty Deed","Normal",306000,0,3,7.98002359231065,243.428571428571,1.09861228866811,"No","Yes","No","No","No",0,0
"29",29,"1 story (new styles)","low density",47,9.7002079011507,"IR1","Lvl","CulDSac","Gtl","NAmes","Normal","1Fam","1 story",5,6,3.91202300542815,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","CBlock",3,3,4,"4",7.15305163493748,1,0,5.33753807970132,7.3031700512368,"GasA",2,"Y","SBrkr",7.37838371299671,0,0,-Inf,1,0,1,0,2,1,5,6,"Typ",2,4,5,1957,5,1,5.76832099579377,3,3,"Y",5.66642668811243,5.55682806169954,0,0,0,12,2006,"Warranty Deed","Normal",207500,0,2,7.96450336355155,266.666666666667,3.91202300542815,"Yes","Yes","No","No","No",0,0
"30",30,"1 story older","medium-high density",60,8.75210719832936,"IR1","Lvl","Inside","Gtl","BrkSide","near street","1Fam","1 story",4,6,4.40671924726425,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","BrkTil",3,3,1,"1",0,1,0,6.25575004175337,6.25575004175337,"GasA",1,"N","SBrkr",6.25575004175337,0,0,-Inf,0,0,1,0,1,1,5,4,"Typ",0,0,5,1920,5,1,5.48479693349065,2,3,"Y",3.91202300542815,0,4.47733681447821,0,0,5,2008,"Warranty Deed","Normal",68500,0,1,6.25382881157547,130,4.48863636973214,"Yes","No","Yes","No","No",0,0
"31",31,"2 story older","misc",50,9.04782144247841,"Reg","Lvl","Inside","Gtl","IDOTRR","near street","1Fam","2 stories",4,4,4.48863636973214,0,"Gambrel","Shingle","Brick","Brick","None",0,"2","1","BrkTil",3,3,1,"1",0,1,0,6.47697236288968,6.47697236288968,"GasA",2,"N","SBrkr",6.47697236288968,6.50578406012823,0,-Inf,0,0,1,0,3,1,5,6,"Typ",0,0,5,1920,5,1,5.52545293913178,3,2,"N",0,4.00733318523247,5.15329159449778,0,0,7,2008,"Warranty Deed","Normal",40000,0,1,7.18311170174328,219.5,4.48863636973214,"No","Yes","Yes","No","No",0,1
"32",32,"1 story (new styles)","low density",73,9.05298456119998,"IR1","Lvl","CulDSac","Gtl","Sawyer","Normal","1Fam","1 story",5,6,3.76120011569356,0,"Gable","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"1",0,1,0,7.11395610956603,7.11395610956603,"GasA",3,"Y","SBrkr",7.11395610956603,0,0,-Inf,0,0,1,1,3,1,5,6,"Typ",0,0,5,1966,5,1,5.605802066296,3,3,"Y",0,4.18965474202643,0,0,0,6,2008,"Warranty Deed","Normal",149350,1,1,7.11314210870709,204.666666666667,3.76120011569356,"No","Yes","No","No","No",0,1
"33",33,"1 story (new styles)","low density",85,9.31009520511317,"Reg","Lvl","Corner","Gtl","CollgCr","Normal","1Fam","1 story",8,5,0.693147180559945,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"3","2","PConc",5,3,3,"1",0,1,0,7.11882624906208,7.11882624906208,"GasA",4,"Y","SBrkr",7.11882624906208,0,0,-Inf,0,0,2,0,3,1,5,7,"Typ",0,0,5,2007,5,2,6.18414889093748,3,3,"Y",0,3.43398720448515,0,0,0,1,2008,"Warranty Deed","Normal",179900,0,2,7.11801620446533,176.285714285714,0.693147180559945,"No","Yes","No","No","No",0,0
"34",34,"1 story (new styles)","low density",70,9.26407069439715,"IR1","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",5,5,3.95124371858143,1,"Hip","Shingle","Brick","Brick","None",0,"2","2","CBlock",3,3,1,"3",6.92657703322272,1,0,5.9427993751267,7.24351297466548,"GasA",3,"Y","SBrkr",7.43897159239586,0,0,-Inf,0,1,1,1,4,1,5,6,"Typ",1,4,5,1959,5,2,6.10479323241498,3,3,"Y",0,3.66356164612965,0,0,0,4,2010,"Warranty Deed","Normal",165500,2,1,7.90765159471109,283.333333333333,3.95124371858143,"No","Yes","No","No","No",0,0
"35",35,"projects","low density",60,8.89740886527095,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","TwnhsE","1 story",9,5,1.09861228866811,1,"Hip","Shingle","Stucco","Stucco","Brick",5.50938833662798,"4","2","PConc",5,3,1,"6",7.05098944706805,1,0,6.0137151560428,7.35372233039963,"GasA",4,"Y","SBrkr",7.35372233039963,0,0,-Inf,1,0,2,0,2,1,5,6,"Typ",1,4,5,2005,5,2,6.32256523992728,3,3,"Y",5.31811999384422,3.87120101090789,0,0,0,8,2007,"Warranty Deed","Normal",277500,0,3,7.90617884039481,260.166666666667,1.09861228866811,"Yes","Yes","No","No","No",0,0
"36",36,"2 story newer","low density",108,9.50435236812283,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","2 stories",8,5,1.09861228866811,0,"Gable","Shingle","Synthetic","Synthetic","Stone",4.89034912822175,"3","2","PConc",5,3,3,"1",0,1,0,7.01929665371504,7.01929665371504,"GasA",4,"Y","SBrkr",7.03262426102801,7.18614430452233,0,-Inf,0,0,3,1,4,1,5,9,"Typ",1,4,5,2004,5,3,6.53958595561767,3,3,"Y",4.7361984483945,3.49650756146648,0,0,0,9,2006,"Warranty Deed","Normal",309000,1,3,7.8046592970561,272.444444444444,1.09861228866811,"Yes","Yes","No","No","No",0,0
"37",37,"1 story (new styles)","low density",112,9.2927495082169,"Reg","Lvl","Corner","Gtl","CollgCr","Normal","1Fam","1 story",5,5,2.77258872223978,0,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",4,3,1,"1",0,1,0,7.00124562206948,7.00124562206948,"GasA",4,"Y","SBrkr",7.00124562206948,0,0,-Inf,0,0,1,1,3,1,5,6,"Typ",0,0,5,1995,5,2,6.51174532964473,3,3,"Y",5.97380961186926,4.17438726989564,0,0,0,6,2009,"Warranty Deed","Normal",145000,1,1,7.00033446027523,182.833333333333,2.70805020110221,"Yes","Yes","No","No","No",0,0
"38",38,"1 story (new styles)","low density",74,9.05157907959124,"Reg","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",5,6,4.02535169073515,0,"Hip","Shingle","Stucco","Stucco","Brick",6.47850964220857,"2","2","CBlock",3,3,1,"3",7.10167597161944,1,0,4.44265125649032,7.16857989726403,"GasA",3,"Y","SBrkr",7.16857989726403,0,0,-Inf,0,1,1,0,3,1,5,5,"Typ",1,3,5,1954,5,2,6.21260609575152,3,3,"Y",0,0,0,0,0,10,2009,"Warranty Deed","Normal",153000,1,1,7.82803803212583,259.4,4.02535169073515,"No","No","No","No","No",0,0
"39",39,"1 story (new styles)","low density",68,8.97739897818186,"Reg","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",5,7,4.06044301054642,0,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","3","CBlock",3,3,1,"6",6.59578051396131,1,0,5.78996017089725,6.96413561241824,"GasA",2,"Y","SBrkr",6.96413561241824,0,0,-Inf,1,0,1,0,3,1,5,5,"Typ",0,0,5,1953,5,1,5.50938833662798,3,3,"Y",0,3.97029191355212,0,0,0,1,2010,"Warranty Deed","Abnorml",109000,0,2,7.48885295573346,211.4,4.06044301054642,"No","Yes","No","No","No",0,0
"40",0,"0","0",0,0,"0","0","0","0","0","0","0","0",0,0,0,0,"0","0","0","0","0",0,"0","0","0",0,0,0,"0",0,0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,5,0,0,5,5,"0",0,0,0,0,0,0,0,"Other","0",0,0,0,0,0,0,"No","No","No","No","No",0,1
