Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalHalfBath,TotalFullBath,TotalFinSF,AbvGrndRoomSize,YrSold_Garage_Difference,hasDeck,hasOpenPorch,hasEnlosedPorch,hasX3SsnPorch,hasScreenPorch,hasPool,hasFence,Set
11,1-Story (Newer),Low Density,70,9.323669057,Reg,Lvl,Inside,Gtl,Sawyer,Normal,1Fam,1-story,5,5,3.784189634,1,Hip,Shingle,Ply,Ply,None,0,2,2,CBlock,3,3,1,3,6.81014245,1,0,4.905274778,6.947937069,GasA,4,Y,SBrkr,6.947937069,0,0,6.946975992,1,0,1,0,3,1,3,5,Typ,0,0,5,1965,5,1,5.953243334,3,3,Y,0,0,0,0,0,2,2008,Warranty Deed,Normal,129500,0,2,7.573531263,208,3.784189634,No,No,No,No,No,0,0,Train
12,2-story (Newer),Low Density,85,9.386308455,IR1,Lvl,Inside,Gtl,NridgHt,Normal,1Fam,2-story,9,5,0.693147181,0,Hip,Shingle,Stucco,Stucco,Stone,5.659482216,4,2,PConc,5,3,1,6,6.906754779,1,0,5.18178355,7.069874128,GasA,4,Y,SBrkr,7.075808864,7.041411664,0,7.751045118,1,0,3,0,4,1,5,11,Typ,2,4,5,2005,5,3,6.602587892,3,3,Y,4.997212274,3.091042453,0,0,0,7,2006,New Home,Partial,345000,0,4,8.10832229,211.2727273,0.693147181,Yes,Yes,No,No,No,0,0,Train
13,1-Story (Newer),Low Density,61.4,9.470240063,IR2,Lvl,Inside,Gtl,Sawyer,Normal,1Fam,1-story,5,6,3.850147602,1,Hip,Shingle,Ply,Ply,None,0,2,2,CBlock,3,3,1,5,6.603943825,1,0,5.170483995,6.816735881,GasA,2,Y,SBrkr,6.816735881,0,0,6.81563999,1,0,1,0,2,1,3,4,Typ,0,0,5,1962,5,1,5.866468057,3,3,Y,4.94875989,0,0,5.176149733,0,9,2008,Warranty Deed,Normal,144000,0,2,7.407924323,228,3.850147602,Yes,No,No,No,Yes,0,0,Train
14,1-Story (Newer),Low Density,91,9.273502947,IR1,Lvl,Inside,Gtl,CollgCr,Normal,1Fam,1-story,7,5,0.693147181,0,Gable,Shingle,Synthetic,Synthetic,Stone,5.726847748,3,2,PConc,4,3,3,1,0,1,0,7.309881486,7.309881486,GasA,4,Y,SBrkr,7.309881486,0,0,7.309212366,0,0,2,0,3,1,4,7,Typ,1,4,5,2006,5,3,6.73459166,3,3,Y,5.081404365,3.526360525,0,0,0,8,2007,New Home,Partial,279500,0,2,7.309212366,213.4285714,0.693147181,Yes,Yes,No,No,No,0,0,Train
15,1-Story (Newer),Low Density,84.2,9.298351249,IR1,Lvl,Corner,Gtl,NAmes,Normal,1Fam,1-story,6,5,3.891820298,1,Hip,Shingle,Stucco,Stucco,Stone,5.361292166,2,2,CBlock,3,3,1,4,6.598509029,1,0,6.255750042,7.134093721,GasA,2,Y,SBrkr,7.134093721,0,0,7.133295955,1,0,1,1,2,1,3,5,Typ,1,2,5,1960,5,1,5.866468057,3,3,Y,0,5.365976015,5.176149733,0,0,5,2008,Warranty Deed,Normal,157000,1,2,7.593877845,250.6,3.891820298,No,Yes,Yes,No,No,0,1,Train
16,1-1/2 Story,Medium-High Density,51,8.719317376,Reg,Lvl,Corner,Gtl,BrkSide,Normal,1Fam,1-1/2-story,7,8,4.369447852,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,BrkTil,3,3,1,1,0,1,0,6.725033642,6.725033642,GasA,4,Y,FuseA,6.751101469,0,0,6.749931194,0,0,1,0,2,1,3,5,Typ,0,0,5,1991,5,2,6.357842267,3,3,Y,3.891820298,4.727387819,0,0,0,7,2007,Warranty Deed,Normal,132000,0,1,6.749931194,170.8,2.833213344,Yes,Yes,No,No,No,0,1,Train
17,1-Story (Newer),Low Density,74.6,9.327323087,IR1,Lvl,CulDSac,Gtl,NAmes,Normal,1Fam,1-story,6,7,3.713572067,1,Gable,Shingle,Stucco,Stucco,Stone,5.198497031,2,2,CBlock,3,3,1,5,6.361302478,1,0,6.056784013,6.91274282,GasA,4,Y,SBrkr,6.91274282,0,0,6.9117473,1,0,1,0,2,1,3,5,Typ,1,3,5,1970,5,2,6.17586727,3,3,Y,0,0,0,0,6.552507887,3,2010,Warranty Deed,Normal,149000,0,2,7.366445148,200.8,3.713572067,No,No,No,No,No,0,0,Train
18,Duplex,Low Density,72,9.286467732,Reg,Lvl,Inside,Gtl,Sawyer,Normal,Duplex,1-story,4,5,3.688879454,1,Gable,Shingle,Stucco,Stucco,None,0,2,2,Slab,0,0,0,0,0,0,0,0,0,GasA,2,Y,SBrkr,7.167809184,0,0,7.167037877,0,0,2,0,2,2,3,6,Typ,0,0,5,1967,5,2,6.248042875,3,3,Y,0,0,0,0,6.216606101,10,2006,Warranty Deed,Normal,90000,0,2,7.167037877,216,3.688879454,No,No,No,No,No,0,0,Train
19,1-Story (Newer),Low Density,66,9.524786082,Reg,Lvl,Inside,Gtl,SawyerW,Near Railroad,1Fam,1-story,5,5,1.609437912,1,Gable,Shingle,Synthetic,Synthetic,None,0,2,2,PConc,3,3,1,6,6.472346295,1,0,6.150602768,7.016609684,GasA,4,Y,SBrkr,7.016609684,0,0,7.01571242,1,0,1,1,3,1,4,6,Typ,0,0,5,2004,5,2,6.357842267,3,3,Y,0,4.634728988,0,0,0,6,2008,Warranty Deed,Normal,159000,1,2,7.473069088,185.6666667,1.609437912,No,Yes,No,No,No,0,0,Train
20,1-Story (Newer),Low Density,70,8.930626469,Reg,Lvl,Inside,Gtl,NAmes,Normal,1Fam,1-story,5,6,3.951243719,0,Hip,Shingle,Brick,Ply,None,0,2,2,CBlock,3,3,1,2,6.224558429,1,0,6.265301213,6.937314081,GasA,2,Y,SBrkr,7.200424893,0,0,7.199678346,0,0,1,0,3,1,3,6,Min1,0,0,5,1958,5,1,5.686975356,3,3,Y,0,0,0,0,0,5,2009,CourtDeed_Estate,Abnorml,139000,0,1,7.519149958,223.1666667,3.951243719,No,No,No,No,No,0,1,Train
21,2-story (Newer),Low Density,101,9.562053024,IR1,Lvl,Corner,Gtl,NridgHt,Normal,1Fam,2-story,8,5,0.693147181,0,Gable,Shingle,Synthetic,Synthetic,Stone,5.942799375,3,2,PConc,5,3,3,1,0,1,0,7.055312843,7.055312843,GasA,4,Y,SBrkr,7.055312843,7.105786129,0,7.77317368,0,0,3,1,4,1,4,9,Typ,1,4,5,2005,5,3,6.749931194,3,3,Y,5.484796933,5.043425117,0,0,0,11,2006,New Home,Partial,325300,1,3,7.77317368,264,0.693147181,Yes,Yes,No,No,No,0,0,Train
22,1-1/2 Story,Medium-High Density,57,8.915835074,Reg,Bnk,Inside,Gtl,IDOTRR,Normal,1Fam,1-1/2-story,7,7,4.356708827,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,PConc,3,3,1,1,0,1,0,6.458338283,6.458338283,GasA,4,Y,FuseF,7.011213987,0,0,7.010311867,0,0,1,0,3,1,4,6,Typ,1,4,5,1930,5,1,5.638354669,3,3,N,0,0,5.327876169,0,0,6,2007,Warranty Deed,Normal,139400,0,1,7.010311867,184.6666667,4.356708827,No,No,Yes,No,No,0,1,Train
23,1-Story (Newer),Low Density,75,9.184201714,Reg,Lvl,Inside,Gtl,CollgCr,Normal,1Fam,1-story,8,5,1.945910149,1,Hip,Shingle,Synthetic,Synthetic,Stone,5.641907071,3,2,PConc,4,3,1,1,0,1,0,7.483244416,7.483244416,GasA,4,Y,SBrkr,7.493317249,0,0,7.492760301,0,0,2,0,3,1,4,7,Typ,1,4,5,2002,5,2,6.282266747,3,3,Y,5.147494477,5.075173815,0,0,0,9,2008,Warranty Deed,Normal,230000,0,2,7.492760301,256.4285714,1.945910149,Yes,Yes,No,No,No,0,0,Train
24,Projects,Medium-High Density,44,8.348537825,Reg,Lvl,Inside,Gtl,MeadowV,Normal,TwnhsE,1-story,5,7,3.465735903,1,Gable,Shingle,Concrete,Stucco,None,0,2,2,PConc,4,3,1,6,6.73459166,1,0,5.303304908,6.947937069,GasA,2,Y,SBrkr,6.966967139,0,0,6.966024187,1,0,1,0,3,1,3,6,Typ,1,3,5,1976,5,2,6.350885717,3,3,Y,4.615120517,4.709530201,0,0,0,6,2007,Warranty Deed,Normal,129900,0,2,7.549609165,176.6666667,3.465735903,Yes,Yes,No,No,No,0,0,Train
25,1-Story (Newer),Low Density,55.4,9.017483513,IR1,Lvl,Inside,Gtl,Sawyer,Normal,1Fam,1-story,5,8,3.761200116,0,Gable,Shingle,Ply,Ply,None,0,2,3,CBlock,3,3,2,3,5.241747015,5,6.50578406,5.323009979,6.966967139,GasA,4,Y,SBrkr,6.966967139,0,0,6.966024187,1,0,1,0,3,1,4,6,Typ,1,3,5,1968,5,1,5.602118821,3,3,Y,6.008813185,4.510859507,0,0,0,5,2010,Warranty Deed,Normal,154000,0,2,7.557994959,176.6666667,3.761200116,Yes,Yes,No,No,No,0,1,Train
26,1-Story (Newer),Low Density,110,9.563107691,Reg,Lvl,Corner,Gtl,NridgHt,Normal,1Fam,1-story,8,5,1.098612289,1,Gable,Shingle,Synthetic,Synthetic,Stone,6.463029457,3,2,PConc,4,3,1,1,0,1,0,7.356918242,7.356918242,GasA,4,Y,SBrkr,7.378383713,0,0,7.377758908,0,0,2,0,3,1,4,7,Typ,1,4,5,2007,5,3,6.792344427,3,3,Y,0,4.043051268,0,0,0,7,2009,Warranty Deed,Normal,256300,0,2,7.377758908,228.5714286,1.098612289,No,Yes,No,No,No,0,0,Train
27,1-Story (Newer),Low Density,60,8.881836305,Reg,Lvl,Corner,Gtl,NAmes,Normal,1Fam,1-story,5,7,4.094344562,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,CBlock,3,3,2,4,5.459585514,3,6.188264123,5.198497031,6.803505258,GasA,2,Y,SBrkr,6.803505258,0,0,6.802394763,0,1,1,0,3,1,4,5,Typ,0,0,5,2005,5,2,6.357842267,3,3,Y,5.407171771,3.496507561,0,0,0,5,2010,Warranty Deed,Normal,134800,1,1,7.390181428,180,1.791759469,Yes,Yes,No,No,No,0,0,Train
28,1-Story (Newer),Low Density,98,9.348187439,Reg,Lvl,Inside,Gtl,NridgHt,Normal,1Fam,1-story,8,5,1.386294361,0,Gable,Shingle,Synthetic,Synthetic,Stone,5.303304908,3,2,PConc,5,3,1,6,7.105786129,1,0,6.188264123,7.44132039,GasA,4,Y,SBrkr,7.44132039,0,0,7.440733707,1,0,2,0,3,1,4,7,Typ,1,4,5,2008,5,3,6.650279049,3,3,Y,0,3.931825633,0,0,0,5,2010,Warranty Deed,Normal,306000,0,3,7.980023592,243.4285714,1.098612289,No,Yes,No,No,No,0,0,Train
29,1-Story (Newer),Low Density,47,9.700207901,IR1,Lvl,CulDSac,Gtl,NAmes,Normal,1Fam,1-story,5,6,3.912023005,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,CBlock,3,3,4,4,7.153051635,1,0,5.33753808,7.303170051,GasA,2,Y,SBrkr,7.378383713,0,0,7.377758908,1,0,1,0,2,1,3,6,Typ,2,4,5,1957,5,1,5.768320996,3,3,Y,5.666426688,5.556828062,0,0,0,12,2006,Warranty Deed,Normal,207500,0,2,7.964503364,266.6666667,3.912023005,Yes,Yes,No,No,No,0,0,Train
30,1-Story (Older),Medium-High Density,60,8.752107198,IR1,Lvl,Inside,Gtl,BrkSide,Near Street,1Fam,1-story,4,6,4.406719247,0,Gable,Shingle,Stucco,Stucco,None,0,2,2,BrkTil,3,3,1,1,0,1,0,6.255750042,6.255750042,GasA,1,N,SBrkr,6.255750042,0,0,6.253828812,0,0,1,0,1,1,2,4,Typ,0,0,5,1920,5,1,5.484796933,2,3,Y,3.912023005,0,4.477336814,0,0,5,2008,Warranty Deed,Normal,68500,0,1,6.253828812,130,4.48863637,Yes,No,Yes,No,No,0,0,Train
31,2-story (Older),Other,50,9.047821442,Reg,Lvl,Inside,Gtl,IDOTRR,Near Street,1Fam,2-story,4,4,4.48863637,0,Gambrel,Shingle,Brick,Brick,None,0,2,1,BrkTil,3,3,1,1,0,1,0,6.476972363,6.476972363,GasA,2,N,SBrkr,6.476972363,6.50578406,0,7.183111702,0,0,1,0,3,1,3,6,Typ,0,0,5,1920,5,1,5.525452939,3,2,N,0,4.007333185,5.153291594,0,0,7,2008,Warranty Deed,Normal,40000,0,1,7.183111702,219.5,4.48863637,No,Yes,Yes,No,No,0,1,Train
32,1-Story (Newer),Low Density,65.4,9.052984561,IR1,Lvl,CulDSac,Gtl,Sawyer,Normal,1Fam,1-story,5,6,3.761200116,0,Gable,Shingle,Ply,Ply,None,0,2,2,CBlock,3,3,1,1,0,1,0,7.11395611,7.11395611,GasA,3,Y,SBrkr,7.11395611,0,0,7.113142109,0,0,1,1,3,1,4,6,Typ,0,0,5,1966,5,1,5.605802066,3,3,Y,0,4.189654742,0,0,0,6,2008,Warranty Deed,Normal,149350,1,1,7.113142109,204.6666667,3.761200116,No,Yes,No,No,No,0,1,Train
33,1-Story (Newer),Low Density,85,9.310095205,Reg,Lvl,Corner,Gtl,CollgCr,Normal,1Fam,1-story,8,5,0.693147181,1,Gable,Shingle,Synthetic,Synthetic,None,0,3,2,PConc,5,3,3,1,0,1,0,7.118826249,7.118826249,GasA,4,Y,SBrkr,7.118826249,0,0,7.118016204,0,0,2,0,3,1,4,7,Typ,0,0,5,2007,5,2,6.184148891,3,3,Y,0,3.433987204,0,0,0,1,2008,Warranty Deed,Normal,179900,0,2,7.118016204,176.2857143,0.693147181,No,Yes,No,No,No,0,0,Train
34,1-Story (Newer),Low Density,70,9.264070694,IR1,Lvl,Inside,Gtl,NAmes,Normal,1Fam,1-story,5,5,3.951243719,1,Hip,Shingle,Brick,Brick,None,0,2,2,CBlock,3,3,1,3,6.926577033,1,0,5.942799375,7.243512975,GasA,3,Y,SBrkr,7.438971592,0,0,7.43838353,0,1,1,1,4,1,4,6,Typ,1,4,5,1959,5,2,6.104793232,3,3,Y,0,3.663561646,0,0,0,4,2010,Warranty Deed,Normal,165500,2,1,7.907651595,283.3333333,3.951243719,No,Yes,No,No,No,0,0,Train
35,Projects,Low Density,60,8.897408865,Reg,Lvl,Inside,Gtl,NridgHt,Normal,TwnhsE,1-story,9,5,1.098612289,1,Hip,Shingle,Stucco,Stucco,Stone,5.509388337,4,2,PConc,5,3,1,6,7.050989447,1,0,6.013715156,7.35372233,GasA,4,Y,SBrkr,7.35372233,0,0,7.353081921,1,0,2,0,2,1,5,6,Typ,1,4,5,2005,5,2,6.32256524,3,3,Y,5.318119994,3.871201011,0,0,0,8,2007,Warranty Deed,Normal,277500,0,3,7.90617884,260.1666667,1.098612289,Yes,Yes,No,No,No,0,0,Train
36,2-story (Newer),Low Density,108,9.504352368,Reg,Lvl,Inside,Gtl,NridgHt,Normal,1Fam,2-story,8,5,1.098612289,0,Gable,Shingle,Synthetic,Synthetic,Stone,4.890349128,3,2,PConc,5,3,3,1,0,1,0,7.019296654,7.019296654,GasA,4,Y,SBrkr,7.032624261,7.186144305,0,7.804659297,0,0,3,1,4,1,4,9,Typ,1,4,5,2004,5,3,6.539585956,3,3,Y,4.736198448,3.496507561,0,0,0,9,2006,Warranty Deed,Normal,309000,1,3,7.804659297,272.4444444,1.098612289,Yes,Yes,No,No,No,0,0,Train
37,1-Story (Newer),Low Density,112,9.292749508,Reg,Lvl,Corner,Gtl,CollgCr,Normal,1Fam,1-story,5,5,2.772588722,0,Gable,Shingle,Synthetic,Synthetic,None,0,2,2,PConc,4,3,1,1,0,1,0,7.001245622,7.001245622,GasA,4,Y,SBrkr,7.001245622,0,0,7.00033446,0,0,1,1,3,1,3,6,Typ,0,0,5,1995,5,2,6.51174533,3,3,Y,5.973809612,4.17438727,0,0,0,6,2009,Warranty Deed,Normal,145000,1,1,7.00033446,182.8333333,2.708050201,Yes,Yes,No,No,No,0,0,Train
38,1-Story (Newer),Low Density,74,9.05157908,Reg,Lvl,Inside,Gtl,NAmes,Normal,1Fam,1-story,5,6,4.025351691,0,Hip,Shingle,Stucco,Stucco,Stone,6.478509642,2,2,CBlock,3,3,1,3,7.101675972,1,0,4.442651256,7.168579897,GasA,3,Y,SBrkr,7.168579897,0,0,7.167809184,0,1,1,0,3,1,3,5,Typ,1,3,5,1954,5,2,6.212606096,3,3,Y,0,0,0,0,0,10,2009,Warranty Deed,Normal,153000,1,1,7.828038032,259.4,4.025351691,No,No,No,No,No,0,0,Train
39,1-Story (Newer),Low Density,68,8.977398978,Reg,Lvl,Inside,Gtl,NAmes,Normal,1Fam,1-story,5,7,4.060443011,0,Gable,Shingle,Synthetic,Synthetic,None,0,2,3,CBlock,3,3,1,6,6.595780514,1,0,5.789960171,6.964135612,GasA,2,Y,SBrkr,6.964135612,0,0,6.963189986,1,0,1,0,3,1,4,5,Typ,0,0,5,1953,5,1,5.509388337,3,3,Y,0,3.970291914,0,0,0,1,2010,Warranty Deed,Abnorml,109000,0,2,7.488852956,211.4,4.060443011,No,Yes,No,No,No,0,0,Train
40,Duplex,Low Density,65,8.706159291,Reg,Lvl,Inside,Gtl,Edwards,Normal,Duplex,1-story,4,5,3.988984047,1,Gable,Shingle,Shingle,Ply,None,0,2,2,PConc,0,0,0,0,0,0,0,0,0,GasA,2,N,FuseP,7.05012252,0,0,7.049254841,0,0,2,0,2,2,2,6,Typ,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,6,2008,Warranty Deed,AdjLand,82000,0,2,7.049254841,192,7.605392365,No,No,No,No,No,0,0,Train
41,1-Story (Newer),Low Density,84,9.066239028,Reg,Lvl,Inside,Gtl,NAmes,Normal,1Fam,1-story,6,5,3.737669618,1,Gable,Shingle,Stucco,Stucco,Stone,4.624972813,2,2,CBlock,3,3,1,3,6.467698726,1,0,6.100318952,6.993015123,GasA,4,Y,SBrkr,7.189167738,0,0,7.188412736,0,0,2,0,3,1,3,6,Typ,1,3,5,1965,5,2,6.089044875,3,3,Y,0,4.934473933,0,0,0,12,2006,Warranty Deed,Abnorml,160000,0,2,7.584264818,220.6666667,3.737669618,No,Yes,No,No,No,0,1,Train
42,1-Story (Newer),Low Density,115,9.735364715,Reg,Lvl,Inside,Gtl,Timber,Normal,1Fam,1-story,5,6,3.891820298,1,Gable,Shingle,Synthetic,Synthetic,None,0,2,3,CBlock,3,3,4,4,6.875232087,1,0,5.950642553,7.208600338,GasA,3,Y,SBrkr,7.192182059,0,0,7.19142933,0,1,1,1,2,1,3,5,Typ,2,4,5,1959,5,1,5.733341277,3,3,P,0,4.65396035,0,0,0,7,2007,Warranty Deed,Normal,170000,2,1,7.738488122,265.6,3.891820298,No,Yes,No,No,No,0,0,Train
43,Split,Low Density,80,9.124782484,IR1,Lvl,CulDSac,Gtl,SawyerW,Normal,1Fam,Split,5,7,3.218875825,1,Gable,Shingle,Ply,Ply,None,0,2,2,CBlock,4,3,3,5,6.617402978,2,4.543294782,0,6.73459166,GasA,3,Y,SBrkr,6.785587645,0,0,6.784457063,1,0,1,0,2,1,4,5,Typ,0,0,5,1983,5,2,6.224558429,3,4,Y,5.484796933,0,0,0,0,12,2007,Warranty Deed,Normal,144000,0,2,7.452402451,176.8,3.218875825,Yes,No,No,No,No,0,1,Train
