,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,MoSold,YrSold,YrSold_Garage_Difference,hasPool,hasFence,TotalHalfBath,TotalFullBath,TotalFinSF,AbvGrndRoomSize,MSSubClass_1-Story (Newer),MSSubClass_1-Story (Older),MSSubClass_2-story (Newer),MSSubClass_2-story (Older),MSSubClass_Duplex,MSSubClass_Projects,MSSubClass_Split,MSZoning_Low Density,MSZoning_Medium-High Density,MSZoning_Other,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Near Railroad,Condition1_Near Street,Condition1_Normal,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1-story,HouseStyle_2-story,HouseStyle_Split,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Metal,RoofMatl_Shingle,RoofMatl_Wood,Exterior1st_Concrete,Exterior1st_Ply,Exterior1st_Shingle,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_Synthetic,Exterior2nd_Concrete,Exterior2nd_Other,Exterior2nd_Ply,Exterior2nd_Shingle,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_Synthetic,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_None,Electrical_SBrkr,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,PavedDrive_P,PavedDrive_Y,SaleType_LowInterest_DownPayment,SaleType_New Home,SaleType_Other,SaleType_Regular Terms,SaleType_Warranty Deed,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,hasDeck_Yes,hasOpenPorch_Yes,hasEnlosedPorch_Yes,hasX3SsnPorch_Yes,hasScreenPorch_Yes
10,70.0,9.323669057283189,5,5,3.7841896339182597,1,0.0,2,2,3,3,1,3,6.81014245011514,1,0.0,4.90527477843843,6.947937068614969,4,6.947937068614969,0.0,0.0,6.94697599213542,1,0,1,0,3,1,3,5,0,0,5,1965,5,1,5.95324333428778,3,3,0.0,0.0,0.0,0.0,0.0,2,2008,3.7841896339182597,0,0,0,2,2.62155639504059,1.3893951984270803,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,85.0,9.38630845479796,9,5,0.693147180559945,0,5.6594822157596205,4,2,5,3,1,6,6.9067547786485495,1,0.0,5.1817835502920895,7.06987412845857,4,7.07580886397839,7.041411663794809,0.0,7.751045117971799,1,0,3,0,4,1,5,11,2,4,5,2005,5,3,6.602587892189339,3,3,4.99721227376411,3.09104245335832,0.0,0.0,0.0,7,2006,0.693147180559945,0,0,0,4,2.6849726099314397,0.704640465270164,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
12,,9.47024006341551,5,6,3.85014760171006,1,0.0,2,2,3,3,1,5,6.60394382460047,1,0.0,5.1704839950381505,6.81673588059497,2,6.81673588059497,0.0,0.0,6.815639990074331,1,0,1,0,2,1,3,4,0,0,5,1962,5,1,5.866468056933299,3,3,4.94875989037817,0.0,0.0,5.17614973257383,0.0,9,2008,3.85014760171006,0,0,0,2,2.59671511874333,1.7039099975185799,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
13,91.0,9.27350294693382,7,5,0.693147180559945,0,5.7268477475872,3,2,4,3,3,1,0.0,1,0.0,7.30988148582479,7.30988148582479,4,7.30988148582479,0.0,0.0,7.30921236569276,0,0,2,0,3,1,4,7,1,4,5,2006,5,3,6.73459165997295,3,3,5.08140436498446,3.5263605246161602,0.0,0.0,0.0,8,2007,0.693147180559945,0,0,0,2,1.98913552044526,1.0441731950989699,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
14,,9.2983512492989,6,5,3.89182029811063,1,5.36129216570943,2,2,3,3,1,4,6.59850902861452,1,0.0,6.25575004175337,7.13409372119287,2,7.13409372119287,0.0,0.0,7.13329595489607,1,0,1,1,2,1,3,5,1,2,5,1960,5,1,5.866468056933299,3,3,0.0,5.36597601502185,5.17614973257383,0.0,0.0,5,2008,3.89182029811063,0,1,1,2,2.61971467388599,1.42665919097921,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
15,51.0,8.71931737550637,7,8,4.36944785246702,0,0.0,2,2,3,3,1,1,0.0,1,0.0,6.7250336421668395,6.7250336421668395,4,6.751101468936759,0.0,0.0,6.74993119378857,0,0,1,0,2,1,3,5,0,0,5,1991,5,2,6.3578422665081,3,3,3.89182029811063,4.72738781871234,0.0,0.0,0.0,7,2007,2.83321334405622,0,1,0,1,1.9095323113196798,1.34998623875771,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
16,,9.327323087461801,6,7,3.71357206670431,1,5.19849703126583,2,2,3,3,1,5,6.361302477573,1,0.0,6.05678401322862,6.91274282049318,4,6.91274282049318,0.0,0.0,6.91174730025167,1,0,1,0,2,1,3,5,1,3,5,1970,5,2,6.17586727010576,3,3,0.0,0.0,0.0,0.0,6.55250788703459,3,2010,3.71357206670431,0,0,0,2,2.5857356469440202,1.38234946005033,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
17,72.0,9.28646773236373,4,5,3.68887945411394,1,0.0,2,2,0,0,0,0,0.0,0,0.0,0.0,0.0,2,7.16780918431644,0.0,0.0,7.16703787691222,0,0,2,0,2,2,3,6,0,0,5,1967,5,2,6.24804287450843,3,3,0.0,0.0,0.0,0.0,6.216606101084861,10,2006,3.68887945411394,0,0,0,2,1.9694924419025501,1.1945063128187,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18,66.0,9.52478608169718,5,5,1.6094379124341003,1,0.0,2,2,3,3,1,6,6.472346294500901,1,0.0,6.15060276844628,7.016609683894219,4,7.016609683894219,0.0,0.0,7.015712420487231,1,0,1,1,3,1,4,6,0,0,5,2004,5,2,6.3578422665081,3,3,0.0,4.634728988229639,0.0,0.0,0.0,6,2008,1.6094379124341003,0,0,1,2,2.60180475437785,1.16928540341454,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
19,70.0,8.93062646917358,5,6,3.95124371858143,0,0.0,2,2,3,3,1,2,6.22455842927536,1,0.0,6.26530121273771,6.93731408122368,2,7.20042489294496,0.0,0.0,7.1996783456911695,0,0,1,0,3,1,3,6,0,0,5,1958,5,1,5.68697535633982,3,3,0.0,0.0,0.0,0.0,0.0,5,2009,3.95124371858143,0,1,0,1,2.59706178775215,1.19994639094853,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,101.0,9.562053024085099,8,5,0.693147180559945,0,5.9427993751267,3,2,5,3,3,1,0.0,1,0.0,7.05531284333975,7.05531284333975,4,7.05531284333975,7.105786129481269,0.0,7.77317368048254,0,0,3,1,4,1,4,9,1,4,5,2005,5,3,6.74993119378857,3,3,5.48479693349065,5.04342511691925,0.0,0.0,0.0,11,2006,0.693147180559945,0,0,1,3,2.05067853407186,0.86368596449806,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
21,57.0,8.915835074176279,7,7,4.35670882668959,0,0.0,2,2,3,3,1,1,0.0,1,0.0,6.45833828334479,6.45833828334479,4,7.01121398735037,0.0,0.0,7.01031186730723,0,0,1,0,3,1,4,6,1,4,5,1930,5,1,5.63835466933375,3,3,0.0,0.0,5.3278761687895795,0.0,0.0,6,2007,4.35670882668959,0,1,0,1,1.94738218897376,1.1683853112178701,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
22,75.0,9.18420171436649,8,5,1.9459101490553101,1,5.64190707093811,3,2,4,3,1,1,0.0,1,0.0,7.483244416073849,7.483244416073849,4,7.493317248862151,0.0,0.0,7.492760300922379,0,0,2,0,3,1,4,7,1,4,5,2002,5,2,6.28226674689601,3,3,5.14749447681345,5.07517381523383,0.0,0.0,0.0,9,2008,1.9459101490553101,0,0,0,2,2.01393726113639,1.0703943287031998,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
